可发现物品,分类 3,分类1,分类2,分类（英文）,可发现物品（英文）,基础热议度,子分类,子分类 (关联）,展品主题,展品简介,所在地图,"所有特性 ",探索地图（汇总）,探索点,探索点溯源,探索点（英文）,热议度上限,特性效果,特性（颜色）,特殊说明,知识
甲壳化石,,,,Fossils,Helix Fossil,,化石,化石 (https://www.notion.so/1df2a3e2f91780d3ab54cac19318bbfc?pvs=21),史前,甲壳化石,白骨带,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),白骨带,焦油旷野,焦油旷野 (https://www.notion.so/1b52a3e2f917811db7bde0ba902e3f58?pvs=21),Greasy Fields,,,无,,
异星化石,,,,Fossils,Star Fossil,,化石,化石 (https://www.notion.so/1df2a3e2f91780d3ab54cac19318bbfc?pvs=21),史前,异星化石,白骨带,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),白骨带,焦油旷野,焦油旷野 (https://www.notion.so/1b52a3e2f917811db7bde0ba902e3f58?pvs=21),Greasy Fields,,,无,,
软盘化石,,,,Fossils,Disk Fossil,,化石,化石 (https://www.notion.so/1df2a3e2f91780d3ab54cac19318bbfc?pvs=21),史前,软盘化石,白骨带,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),白骨带,焦油旷野,焦油旷野 (https://www.notion.so/1b52a3e2f917811db7bde0ba902e3f58?pvs=21),Greasy Fields,,,无,,
壶龙果,,,,Edible Plants,Flagon Fruit,,食用植物,食用植物 (https://www.notion.so/1df2a3e2f91780399a7beecfd222a2b5?pvs=21),自然,壶龙果,白骨带,"壶龙果 (https://www.notion.so/1df2a3e2f9178058bd21f201cb2a9f00?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)",白骨带,沉寂河流,沉寂河流 (https://www.notion.so/1b52a3e2f91781d4bcdbe69a2c72bc2b?pvs=21),Lethargic River,,"增加喝饱度，但减少肠胃舒适度,健康度降至0%时会死亡/枯萎","壶龙果,生老病死",,
石甲犰狳骨架,,,,Dinosaur Bones,Bouldadillo Skeleton,,恐龙骨骼,恐龙骨骼 (https://www.notion.so/1df2a3e2f91780c39b44d7d461a46d53?pvs=21),史前,石甲犰狳骨架,白骨带,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),白骨带,肋骨荒原,肋骨荒原 (https://www.notion.so/1b52a3e2f91781aba6a2fc99a06ea526?pvs=21),Rib Row,,,无,,
尖背龙骨架,,,,Dinosaur Bones,Sharpontops Skeleton,,恐龙骨骼,恐龙骨骼 (https://www.notion.so/1df2a3e2f91780c39b44d7d461a46d53?pvs=21),史前,尖背龙骨架,白骨带,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),白骨带,肋骨荒原,肋骨荒原 (https://www.notion.so/1b52a3e2f91781aba6a2fc99a06ea526?pvs=21),Rib Row,,,无,,
贝壳电话,,,,Ancient Inventions,Shell Phone,,古代发明,古代发明 (https://www.notion.so/1df2a3e2f91780e8b7ccee59e68600fc?pvs=21),史前,贝壳电话,白骨带,"望而生畏 (https://www.notion.so/1dc2a3e2f91780bf97e1d55267f23538?pvs=21), 有趣 (https://www.notion.so/1dc2a3e2f917806a9e9ad655e3947f18?pvs=21), 令人好奇的 (https://www.notion.so/1dc2a3e2f91780a19e54dee64355e893?pvs=21)",白骨带,隐士山丘,隐士山丘 (https://www.notion.so/1b52a3e2f91781dbb248cd500a2611f9?pvs=21),Hermit Hills,,"可对犯罪行动产生震慑效果,提升访客的娱乐度,提供的知识额外+1","望而生畏,有趣,令人好奇的",,
远古打地鼠,,,,Ancient Inventions,Ol' Smack-a-Vole,,古代发明,古代发明 (https://www.notion.so/1df2a3e2f91780e8b7ccee59e68600fc?pvs=21),史前,远古打地鼠,白骨带,"望而生畏 (https://www.notion.so/1dc2a3e2f91780bf97e1d55267f23538?pvs=21), 有趣 (https://www.notion.so/1dc2a3e2f917806a9e9ad655e3947f18?pvs=21), 令人好奇的 (https://www.notion.so/1dc2a3e2f91780a19e54dee64355e893?pvs=21)",白骨带,隐士山丘,隐士山丘 (https://www.notion.so/1b52a3e2f91781dbb248cd500a2611f9?pvs=21),Hermit Hills,,"可对犯罪行动产生震慑效果,提升访客的娱乐度,提供的知识额外+1","望而生畏,有趣,令人好奇的",,
右脚印化石,,,,Fossils,Right Footprint Fossil,,化石,化石 (https://www.notion.so/1df2a3e2f91780d3ab54cac19318bbfc?pvs=21),史前,右脚印化石,白骨带,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),白骨带,黑糖浆湖,黑糖浆湖 (https://www.notion.so/1b52a3e2f9178120be94dc95b5d6d2a1?pvs=21),Treacle Ponds,,,无,,
迅爬龙骨架,,,,Dinosaur Bones,Tapraptor Skeleton,,恐龙骨骼,恐龙骨骼 (https://www.notion.so/1df2a3e2f91780c39b44d7d461a46d53?pvs=21),史前,迅爬龙骨架,白骨带,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),白骨带,凋零之路,凋零之路 (https://www.notion.so/1b52a3e2f9178169964feac6d96a4714?pvs=21),Withering Way,,,无,,
异次元时光队长化石,,,,Fossils,Alternate Yesterday Fossil,,化石,化石 (https://www.notion.so/1df2a3e2f91780d3ab54cac19318bbfc?pvs=21),史前,异次元时光队长化石,白骨带,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),白骨带,迷乱沙丘,迷乱沙丘 (https://www.notion.so/1b52a3e2f9178199ab0fd421905f8efc?pvs=21),Spoony Dunes,,,无,,
孤独的石碑,,,,Prehistory Mysteries,Lone Henge,,史前奥秘,史前奥秘 (https://www.notion.so/1df2a3e2f9178011a4afe5d3b11d0ad5?pvs=21),史前,孤独的石碑,白骨带,史前奥秘 (https://www.notion.so/1df2a3e2f91780e3a761c336698b3a4c?pvs=21),白骨带,迷乱沙丘,迷乱沙丘 (https://www.notion.so/1b52a3e2f9178199ab0fd421905f8efc?pvs=21),Spoony Dunes,,有来自其他时空或地点的古怪标记,史前奥秘,,
时光通道,,,,Prehistory Mysteries,Time Portal,,史前奥秘,史前奥秘 (https://www.notion.so/1df2a3e2f9178011a4afe5d3b11d0ad5?pvs=21),史前,时光通道,白骨带,"史前奥秘 (https://www.notion.so/1df2a3e2f91780e3a761c336698b3a4c?pvs=21), 时间之门 (https://www.notion.so/1df2a3e2f91780a1a763c7eed893f1e3?pvs=21)","白骨带,冥界","异次元时光, 迷乱沙丘","迷乱沙丘 (https://www.notion.so/1b52a3e2f9178199ab0fd421905f8efc?pvs=21), 异次元时光 (https://www.notion.so/1b52a3e2f917811d9d9bda90ede18afe?pvs=21)",Spoony Dunes,,"有来自其他时空或地点的古怪标记,一扇十分有用的门，通往黎明时分","史前奥秘,时间之门",,
振翅翼龙骨架,,,,Dinosaur Bones,Phlapadactyl Skeleton,,恐龙骨骼,恐龙骨骼 (https://www.notion.so/1df2a3e2f91780c39b44d7d461a46d53?pvs=21),史前,振翅翼龙骨架,白骨带,"无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21), 腹泻的幽默 (https://www.notion.so/1d32a3e2f917808fa76dfe9c83aba966?pvs=21)",白骨带,腐臭小径,腐臭小径 (https://www.notion.so/1b52a3e2f91781d1a383ed0e8e7993e9?pvs=21),Carrion Trail,,好笑的惊吓方式，轻微影响肠胃舒适度,"无,腹泻的幽默",,
指挥家巨蟒骨架,,,,Dinosaur Bones,Boa Constructor Skeleton,,恐龙骨骼,恐龙骨骼 (https://www.notion.so/1df2a3e2f91780c39b44d7d461a46d53?pvs=21),史前,指挥家巨蟒骨架,白骨带,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),白骨带,腐臭小径,腐臭小径 (https://www.notion.so/1b52a3e2f91781d1a383ed0e8e7993e9?pvs=21),Carrion Trail,,,无,,
恶臭花,,,,Tropical Plants,Stink Plant,,热带植物,热带植物 (https://www.notion.so/1df2a3e2f91780ec8010d59b9622ff97?pvs=21),自然,恶臭花,白骨带,"恶臭孢子 (https://www.notion.so/1df2a3e2f91780a893a6cee336a5b9ab?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)",白骨带,啃噬之森,啃噬之森 (https://www.notion.so/1b52a3e2f917810ab800e5e92458e256?pvs=21),Gnawn Wood,,"健康度低下时会散发出难闻的气味，降低周围人的环境值,健康度降至0%时会死亡/枯萎","恶臭孢子,生老病死",,
